,ID1,ID2,Jaccard distance,Levenshtein distance,text1,text2,#text2
0,0,0.0,0,John died because he was unable to breathe,John died because he was unable to breathe,8,8
0,204,0.7333333333333333,8,John died because he was unable to breathe,John 's loss of life was due to his inability to breathe,8,12
0,203,0.8125,10,John died because he was unable to breathe,The death of John was due to his inability to inhale air,8,12
0,202,0.8235294117647058,11,John died because he was unable to breathe,The death of John was due to his inability to take a breath,8,13
0,201,0.7142857142857143,8,John died because he was unable to breathe,The death of John was due to his inability to breathe,8,11
0,200,0.8,9,John died because he was unable to breathe,John 's death was due to his inability to inhale air,8,11
0,199,0.8125,10,John died because he was unable to breathe,John 's death was due to his inability to take a breath,8,12
0,205,0.8333333333333334,11,John died because he was unable to breathe,John 's loss of life was due to his inability to take a breath,8,14
0,198,0.6923076923076923,7,John died because he was unable to breathe,John 's death was due to his inability to breathe,8,10
0,196,0.8421052631578947,15,John died because he was unable to breathe,Not being able to inhale air was the cause of the end of John 's life,8,16
0,195,0.8421052631578947,15,John died because he was unable to breathe,Not being able to inhale air was the cause of the loss of John 's life,8,16
0,194,0.8421052631578947,14,John died because he was unable to breathe,Not being able to inhale air was the cause of John 's loss of life,8,15
0,193,0.8235294117647058,13,John died because he was unable to breathe,Not being able to inhale air was the cause of the death of John,8,14
0,192,0.8333333333333334,12,John died because he was unable to breathe,Not being able to inhale air was the cause of John 's death,8,13
0,191,0.8421052631578947,17,John died because he was unable to breathe,Not being able to take a breath was the cause of the end of the life of John,8,18
0,197,0.8333333333333334,16,John died because he was unable to breathe,Not being able to inhale air was the cause of the end of the life of John,8,17
0,206,0.8235294117647058,10,John died because he was unable to breathe,John 's loss of life was due to his inability to inhale air,8,13
0,207,0.75,10,John died because he was unable to breathe,The loss of John 's life was due to his inability to breathe,8,13
0,208,0.8421052631578947,13,John died because he was unable to breathe,The loss of John 's life was due to his inability to take a breath,8,15
0,223,0.8421052631578947,13,John died because he was unable to breathe,The result of John 's inability to take a breath was the death of him,8,15
0,222,0.8333333333333334,12,John died because he was unable to breathe,The result of John 's inability to take a breath was his death,8,13
0,221,0.7647058823529411,14,John died because he was unable to breathe,The result of John 's inability to breathe was the end of the life of him,8,16
0,220,0.7647058823529411,12,John died because he was unable to breathe,The result of John 's inability to breathe was the end of his life,8,14
0,219,0.7647058823529411,12,John died because he was unable to breathe,The result of John 's inability to breathe was the loss of his life,8,14
0,218,0.75,11,John died because he was unable to breathe,The result of John 's inability to breathe was his loss of life,8,13
0,217,0.75,11,John died because he was unable to breathe,The result of John 's inability to breathe was the death of him,8,13
0,216,0.7333333333333333,9,John died because he was unable to breathe,The result of John 's inability to breathe was his death,8,11
0,215,0.8333333333333334,13,John died because he was unable to breathe,The end of the life of John was due to his inability to inhale air,8,15
0,214,0.8421052631578947,14,John died because he was unable to breathe,The end of the life of John was due to his inability to take a breath,8,16
0,213,0.75,11,John died because he was unable to breathe,The end of the life of John was due to his inability to breathe,8,14
0,212,0.8333333333333334,12,John died because he was unable to breathe,The end of John 's life was due to his inability to inhale air,8,14
0,211,0.8421052631578947,13,John died because he was unable to breathe,The end of John 's life was due to his inability to take a breath,8,15
0,210,0.75,10,John died because he was unable to breathe,The end of John 's life was due to his inability to breathe,8,13
0,209,0.8333333333333334,12,John died because he was unable to breathe,The loss of John 's life was due to his inability to inhale air,8,14
0,190,0.85,16,John died because he was unable to breathe,Not being able to take a breath was the cause of the end of John 's life,8,17
0,189,0.85,16,John died because he was unable to breathe,Not being able to take a breath was the cause of the loss of John 's life,8,17
0,188,0.85,15,John died because he was unable to breathe,Not being able to take a breath was the cause of John 's loss of life,8,16
0,187,0.8333333333333334,14,John died because he was unable to breathe,Not being able to take a breath was the cause of the death of John,8,15
0,167,0.6428571428571429,14,John died because he was unable to breathe,Being unable to breathe was the cause of the end of the life of John,8,15
0,166,0.6666666666666666,13,John died because he was unable to breathe,Being unable to breathe was the cause of the end of John 's life,8,14
0,165,0.6666666666666666,13,John died because he was unable to breathe,Being unable to breathe was the cause of the loss of John 's life,8,14
0,164,0.6666666666666666,12,John died because he was unable to breathe,Being unable to breathe was the cause of John 's loss of life,8,13
0,163,0.6153846153846154,11,John died because he was unable to breathe,Being unable to breathe was the cause of the death of John,8,12
0,162,0.6428571428571429,10,John died because he was unable to breathe,Being unable to breathe was the cause of John 's death,8,11
0,161,0.8333333333333334,15,John died because he was unable to breathe,John 's inability to inhale air was the cause of the end of the life of him,8,17
0,160,0.8333333333333334,13,John died because he was unable to breathe,John 's inability to inhale air was the cause of the end of his life,8,15
0,159,0.8333333333333334,13,John died because he was unable to breathe,John 's inability to inhale air was the cause of the loss of his life,8,15
0,158,0.8333333333333334,12,John died because he was unable to breathe,John 's inability to inhale air was the cause of his loss of life,8,14
0,157,0.8235294117647058,12,John died because he was unable to breathe,John 's inability to inhale air was the cause of the death of him,8,14
0,156,0.8235294117647058,10,John died because he was unable to breathe,John 's inability to inhale air was the cause of his death,8,12
0,155,0.8421052631578947,16,John died because he was unable to breathe,John 's inability to take a breath was the cause of the end of the life of him,8,18
0,154,0.8421052631578947,14,John died because he was unable to breathe,John 's inability to take a breath was the cause of the end of his life,8,16
0,153,0.8421052631578947,14,John died because he was unable to breathe,John 's inability to take a breath was the cause of the loss of his life,8,16
0,168,0.7647058823529411,12,John died because he was unable to breathe,Being unable to take a breath was the cause of John 's death,8,13
0,224,0.8421052631578947,13,John died because he was unable to breathe,The result of John 's inability to take a breath was his loss of life,8,15
0,169,0.75,13,John died because he was unable to breathe,Being unable to take a breath was the cause of the death of John,8,14
0,171,0.7777777777777778,15,John died because he was unable to breathe,Being unable to take a breath was the cause of the loss of John 's life,8,16
0,186,0.8421052631578947,13,John died because he was unable to breathe,Not being able to take a breath was the cause of John 's death,8,14
0,185,0.75,15,John died because he was unable to breathe,Not being able to breathe was the cause of the end of the life of John,8,16
0,184,0.7647058823529411,14,John died because he was unable to breathe,Not being able to breathe was the cause of the end of John 's life,8,15
0,183,0.7647058823529411,14,John died because he was unable to breathe,Not being able to breathe was the cause of the loss of John 's life,8,15
0,182,0.7647058823529411,13,John died because he was unable to breathe,Not being able to breathe was the cause of John 's loss of life,8,14
0,181,0.7333333333333333,12,John died because he was unable to breathe,Not being able to breathe was the cause of the death of John,8,13
0,180,0.75,11,John died because he was unable to breathe,Not being able to breathe was the cause of John 's death,8,12
0,179,0.75,15,John died because he was unable to breathe,Being unable to inhale air was the cause of the end of the life of John,8,16
0,178,0.7647058823529411,14,John died because he was unable to breathe,Being unable to inhale air was the cause of the end of John 's life,8,15
0,177,0.7647058823529411,14,John died because he was unable to breathe,Being unable to inhale air was the cause of the loss of John 's life,8,15
0,176,0.7647058823529411,13,John died because he was unable to breathe,Being unable to inhale air was the cause of John 's loss of life,8,14
0,175,0.7333333333333333,12,John died because he was unable to breathe,Being unable to inhale air was the cause of the death of John,8,13
0,174,0.75,11,John died because he was unable to breathe,Being unable to inhale air was the cause of John 's death,8,12
0,173,0.7647058823529411,16,John died because he was unable to breathe,Being unable to take a breath was the cause of the end of the life of John,8,17
0,172,0.7777777777777778,15,John died because he was unable to breathe,Being unable to take a breath was the cause of the end of John 's life,8,16
0,170,0.7777777777777778,14,John died because he was unable to breathe,Being unable to take a breath was the cause of John 's loss of life,8,15
0,225,0.85,14,John died because he was unable to breathe,The result of John 's inability to take a breath was the loss of his life,8,16
0,226,0.85,14,John died because he was unable to breathe,The result of John 's inability to take a breath was the end of his life,8,16
0,227,0.85,16,John died because he was unable to breathe,The result of John 's inability to take a breath was the end of the life of him,8,18
0,280,0.9047619047619048,15,John died because he was unable to breathe,Not being able to take a breath resulted in the end of John 's life,8,15
0,279,0.9047619047619048,15,John died because he was unable to breathe,Not being able to take a breath resulted in the loss of John 's life,8,15
0,278,0.9,14,John died because he was unable to breathe,Not being able to take a breath resulted in John 's loss of life,8,14
0,277,0.8947368421052632,13,John died because he was unable to breathe,Not being able to take a breath resulted in the death of John,8,13
0,276,0.8888888888888888,12,John died because he was unable to breathe,Not being able to take a breath resulted in John 's death,8,12
0,275,0.8235294117647058,14,John died because he was unable to breathe,Not being able to breathe resulted in the end of the life of John,8,14
0,274,0.8333333333333334,13,John died because he was unable to breathe,Not being able to breathe resulted in the end of John 's life,8,13
0,273,0.8333333333333334,13,John died because he was unable to breathe,Not being able to breathe resulted in the loss of John 's life,8,13
0,272,0.8235294117647058,12,John died because he was unable to breathe,Not being able to breathe resulted in John 's loss of life,8,12
0,271,0.8125,11,John died because he was unable to breathe,Not being able to breathe resulted in the death of John,8,11
0,270,0.8,10,John died because he was unable to breathe,Not being able to breathe resulted in John 's death,8,10
0,269,0.8235294117647058,14,John died because he was unable to breathe,Being unable to inhale air resulted in the end of the life of John,8,14
0,268,0.8333333333333334,13,John died because he was unable to breathe,Being unable to inhale air resulted in the end of John 's life,8,13
0,267,0.8333333333333334,13,John died because he was unable to breathe,Being unable to inhale air resulted in the loss of John 's life,8,13
0,266,0.8235294117647058,12,John died because he was unable to breathe,Being unable to inhale air resulted in John 's loss of life,8,12
0,281,0.9,16,John died because he was unable to breathe,Not being able to take a breath resulted in the end of the life of John,8,16
0,265,0.8125,11,John died because he was unable to breathe,Being unable to inhale air resulted in the death of John,8,11
0,282,0.8823529411764706,11,John died because he was unable to breathe,Not being able to inhale air resulted in John 's death,8,11
0,284,0.8947368421052632,13,John died because he was unable to breathe,Not being able to inhale air resulted in John 's loss of life,8,13
0,299,0.9,15,John died because he was unable to breathe,John 's inability to take a breath resulted in the end of the life of him,8,16
0,298,0.9,13,John died because he was unable to breathe,John 's inability to take a breath resulted in the end of his life,8,14
0,297,0.9,13,John died because he was unable to breathe,John 's inability to take a breath resulted in the loss of his life,8,14
0,296,0.8947368421052632,12,John died because he was unable to breathe,John 's inability to take a breath resulted in his loss of life,8,13
0,295,0.8947368421052632,12,John died because he was unable to breathe,John 's inability to take a breath resulted in the death of him,8,13
0,294,0.8823529411764706,10,John died because he was unable to breathe,John 's inability to take a breath resulted in his death,8,11
0,293,0.8235294117647058,13,John died because he was unable to breathe,John 's inability to breathe resulted in the end of the life of him,8,14
0,292,0.8235294117647058,11,John died because he was unable to breathe,John 's inability to breathe resulted in the end of his life,8,12
0,291,0.8235294117647058,11,John died because he was unable to breathe,John 's inability to breathe resulted in the loss of his life,8,12
0,290,0.8125,10,John died because he was unable to breathe,John 's inability to breathe resulted in his loss of life,8,11
0,289,0.8125,10,John died because he was unable to breathe,John 's inability to breathe resulted in the death of him,8,11
0,288,0.7857142857142857,8,John died because he was unable to breathe,John 's inability to breathe resulted in his death,8,9
0,287,0.8947368421052632,15,John died because he was unable to breathe,Not being able to inhale air resulted in the end of the life of John,8,15
0,286,0.9,14,John died because he was unable to breathe,Not being able to inhale air resulted in the end of John 's life,8,14
0,285,0.9,14,John died because he was unable to breathe,Not being able to inhale air resulted in the loss of John 's life,8,14
0,283,0.8888888888888888,12,John died because he was unable to breathe,Not being able to inhale air resulted in the death of John,8,12
0,152,0.8421052631578947,13,John died because he was unable to breathe,John 's inability to take a breath was the cause of his loss of life,8,15
0,264,0.8,10,John died because he was unable to breathe,Being unable to inhale air resulted in John 's death,8,10
0,262,0.8421052631578947,14,John died because he was unable to breathe,Being unable to take a breath resulted in the end of John 's life,8,14
0,242,0.8333333333333334,11,John died because he was unable to breathe,John 's loss of life was the result of his inability to inhale air,8,14
0,241,0.8421052631578947,12,John died because he was unable to breathe,John 's loss of life was the result of his inability to take a breath,8,15
0,240,0.75,9,John died because he was unable to breathe,John 's loss of life was the result of his inability to breathe,8,13
0,239,0.8235294117647058,11,John died because he was unable to breathe,The death of John was the result of his inability to inhale air,8,13
0,238,0.8333333333333334,12,John died because he was unable to breathe,The death of John was the result of his inability to take a breath,8,14
0,237,0.7333333333333333,9,John died because he was unable to breathe,The death of John was the result of his inability to breathe,8,12
0,236,0.8235294117647058,10,John died because he was unable to breathe,John 's death was the result of his inability to inhale air,8,12
0,235,0.8333333333333334,11,John died because he was unable to breathe,John 's death was the result of his inability to take a breath,8,13
0,234,0.7333333333333333,8,John died because he was unable to breathe,John 's death was the result of his inability to breathe,8,11
0,233,0.8421052631578947,15,John died because he was unable to breathe,The result of John 's inability to inhale air was the end of the life of him,8,17
0,232,0.8421052631578947,13,John died because he was unable to breathe,The result of John 's inability to inhale air was the end of his life,8,15
0,231,0.8421052631578947,13,John died because he was unable to breathe,The result of John 's inability to inhale air was the loss of his life,8,15
0,230,0.8333333333333334,12,John died because he was unable to breathe,The result of John 's inability to inhale air was his loss of life,8,14
0,229,0.8333333333333334,12,John died because he was unable to breathe,The result of John 's inability to inhale air was the death of him,8,14
0,228,0.8235294117647058,11,John died because he was unable to breathe,The result of John 's inability to inhale air was his death,8,12
0,243,0.7647058823529411,11,John died because he was unable to breathe,The loss of John 's life was the result of his inability to breathe,8,14
0,263,0.8333333333333334,15,John died because he was unable to breathe,Being unable to take a breath resulted in the end of the life of John,8,15
0,244,0.85,14,John died because he was unable to breathe,The loss of John 's life was the result of his inability to take a breath,8,16
0,246,0.7647058823529411,11,John died because he was unable to breathe,The end of John 's life was the result of his inability to breathe,8,14
0,261,0.8421052631578947,14,John died because he was unable to breathe,Being unable to take a breath resulted in the loss of John 's life,8,14
0,260,0.8333333333333334,13,John died because he was unable to breathe,Being unable to take a breath resulted in John 's loss of life,8,13
0,259,0.8235294117647058,12,John died because he was unable to breathe,Being unable to take a breath resulted in the death of John,8,12
0,258,0.8125,11,John died because he was unable to breathe,Being unable to take a breath resulted in John 's death,8,11
0,257,0.7333333333333333,13,John died because he was unable to breathe,Being unable to breathe resulted in the end of the life of John,8,13
0,256,0.75,12,John died because he was unable to breathe,Being unable to breathe resulted in the end of John 's life,8,12
0,255,0.75,12,John died because he was unable to breathe,Being unable to breathe resulted in the loss of John 's life,8,12
0,254,0.7333333333333333,11,John died because he was unable to breathe,Being unable to breathe resulted in John 's loss of life,8,11
0,253,0.7142857142857143,10,John died because he was unable to breathe,Being unable to breathe resulted in the death of John,8,10
0,252,0.6923076923076923,9,John died because he was unable to breathe,Being unable to breathe resulted in John 's death,8,9
0,251,0.8333333333333334,14,John died because he was unable to breathe,The end of the life of John was the result of his inability to inhale air,8,16
0,250,0.8421052631578947,15,John died because he was unable to breathe,The end of the life of John was the result of his inability to take a breath,8,17
